#flows,epsilon,is_correlated,key,count_chern,byte_chern,class
200,0.01,1,2_0_1_0-2_1_1_0,0.30443634614,0.296624232363,-1
200,0.01,1,2_0_1_3-2_1_1_3,0.00808153794333,0.00602150551063,1
200,0.01,1,2_0_0_0-2_1_0_0,0.0190168077622,0.0181512261178,-1
200,0.01,1,2_0_0_2-2_1_0_2,0.0527633917379,0.0418442859941,-1
200,0.01,1,2_0_0_1-2_1_0_1,0.0544195584002,0.0571167557493,-1
200,0.01,1,2_0_1_1-2_1_1_1,0.360813447275,0.256350656583,-1
200,0.01,1,2_0_1_2-2_1_1_2,0.0544195584002,0.0463668710226,-1
200,0.01,1,2_0_0_3-2_1_0_3,0.0336619793581,0.0367731160119,-1
200,0.01,0,2_0_1_0-2_1_1_0,0.226514893743,0.222565822234,-1
200,0.01,0,2_0_1_3-2_1_1_3,0.0945827307653,0.0799922640764,-1
200,0.01,0,2_0_0_0-2_1_0_0,0.42763075233,0.360330738566,-1
200,0.01,0,2_0_0_2-2_1_0_2,0.51391023579,0.397444597623,-1
200,0.01,0,2_0_0_1-2_1_0_1,0.264930887835,0.265601093712,-1
200,0.01,0,2_0_1_1-2_1_1_1,0.286228524366,0.297839822083,-1
200,0.01,0,2_0_1_2-2_1_1_2,0.226514893743,0.261321868797,-1
200,0.01,0,2_0_0_3-2_1_0_3,0.0202439480707,0.0301302701681,-1
500,0.01,1,2_0_1_0-2_1_1_0,0.0691065699763,0.0785193752023,-1
500,0.01,1,2_0_1_3-2_1_1_3,1.12286343749e-08,1.00551235107e-08,1
500,0.01,1,2_0_0_0-2_1_0_0,0.00472862564683,0.00287159650719,1
500,0.01,1,2_0_0_2-2_1_0_2,0.310290976352,0.657868031807,-1
500,0.01,1,2_0_0_1-2_1_0_1,0.00027844411748,0.000289420493617,1
500,0.01,1,2_0_1_1-2_1_1_1,0.037171347641,0.18401063186,-1
500,0.01,1,2_0_1_2-2_1_1_2,0.00027844411748,0.000227985979467,1
500,0.01,1,2_0_0_3-2_1_0_3,0.282703199675,0.242996565186,-1
500,0.01,0,2_0_1_0-2_1_1_0,0.207518646832,0.458917299629,-1
500,0.01,0,2_0_1_3-2_1_1_3,0.350680127858,0.26310239393,-1
500,0.01,0,2_0_0_0-2_1_0_0,0.404097897521,0.357755516463,-1
500,0.01,0,2_0_0_2-2_1_0_2,0.636543275718,0.514951029723,-1
500,0.01,0,2_0_0_1-2_1_0_1,0.387181916949,0.357179098734,-1
500,0.01,0,2_0_1_1-2_1_1_1,0.98657576053,0.870811682217,-1
500,0.01,0,2_0_1_2-2_1_1_2,0.698816104481,0.70909541918,-1
500,0.01,0,2_0_0_3-2_1_0_3,0.951209587585,0.836731908313,-1
800,0.01,1,2_0_1_0-2_1_1_0,0.247603402642,0.200584381308,-1
800,0.01,1,2_0_1_3-2_1_1_3,2.50354784631e-05,1.63589940491e-05,1
800,0.01,1,2_0_0_0-2_1_0_0,6.49753014138e-07,3.43109963838e-07,1
800,0.01,1,2_0_0_2-2_1_0_2,0.0623368244169,0.284859442749,-1
800,0.01,1,2_0_0_1-2_1_0_1,9.58794422947e-06,3.88996646784e-06,1
800,0.01,1,2_0_1_1-2_1_1_1,0.0111402117145,0.0373976018821,-1
800,0.01,1,2_0_1_2-2_1_1_2,0.000104140212573,9.36806319508e-05,1
800,0.01,1,2_0_0_3-2_1_0_3,0.0225189330988,0.0444551516241,-1
800,0.01,0,2_0_1_0-2_1_1_0,0.432905909313,0.217854921785,-1
800,0.01,0,2_0_1_3-2_1_1_3,0.564418064241,0.330185427432,-1
800,0.01,0,2_0_0_0-2_1_0_0,0.551684176108,0.597904940687,-1
800,0.01,0,2_0_0_2-2_1_0_2,0.123926765663,0.0706947599081,-1
800,0.01,0,2_0_0_1-2_1_0_1,0.213588920923,0.117150914814,-1
800,0.01,0,2_0_1_1-2_1_1_1,0.456365903734,0.250812937359,-1
800,0.01,0,2_0_1_2-2_1_1_2,0.192340731898,0.113851549431,-1
