#flows,epsilon,is_correlated,key,count_chern,byte_chern,class
200,0.01,1,2_0_1_0-2_1_1_0,0.036126965739,0.0168563197407,-1
200,0.01,1,2_0_1_3-2_1_1_3,3.86051284391e-08,4.66546072205e-08,1
200,0.01,1,2_0_0_0-2_1_0_0,1.3932655026e-05,1.3323657618e-05,1
200,0.01,1,2_0_0_2-2_1_0_2,0.0010495139525,0.000729629402616,1
200,0.01,1,2_0_0_1-2_1_0_1,0.154294925907,0.218724614909,-1
200,0.01,1,2_0_1_1-2_1_1_1,0.00296467322906,0.00242899946264,1
200,0.01,1,2_0_1_2-2_1_1_2,5.01438828805e-06,5.65474413426e-06,1
200,0.01,1,2_0_0_3-2_1_0_3,0.00502425818725,0.00239282366017,1
200,0.01,0,2_0_1_0-2_1_1_0,0.0314888926518,0.027210029959,-1
200,0.01,0,2_0_1_3-2_1_1_3,0.864686105358,0.48013331364,-1
200,0.01,0,2_0_0_0-2_1_0_0,0.0131553877032,0.0334728866872,-1
200,0.01,0,2_0_0_2-2_1_0_2,0.154294925907,0.145955604886,-1
200,0.01,0,2_0_0_1-2_1_0_1,0.286228524366,0.499990399112,-1
200,0.01,0,2_0_1_1-2_1_1_1,0.0039347062231,0.00211787329049,1
200,0.01,0,2_0_1_2-2_1_1_2,0.765319057953,0.479461199201,-1
200,0.01,0,2_0_0_3-2_1_0_3,0.0719829980251,0.0717674897847,-1
500,0.01,1,2_0_1_0-2_1_1_0,0.39404423704,0.0908265131674,-1
500,0.01,1,2_0_1_3-2_1_1_3,3.75960783905e-05,2.30023894078e-05,1
500,0.01,1,2_0_0_0-2_1_0_0,0.000267844210001,0.000259908027747,1
500,0.01,1,2_0_0_2-2_1_0_2,0.00472862564683,0.00911542524487,1
500,0.01,1,2_0_0_1-2_1_0_1,0.011795012832,0.0127418341337,-1
500,0.01,1,2_0_1_1-2_1_1_1,0.135725610389,0.321981652271,-1
500,0.01,1,2_0_1_2-2_1_1_2,4.70191206471e-06,4.09821691941e-06,1
500,0.01,1,2_0_0_3-2_1_0_3,5.64124686749e-05,1.57246741714e-05,1
500,0.01,0,2_0_1_0-2_1_1_0,0.00667295054951,0.00490694994086,1
500,0.01,0,2_0_1_3-2_1_1_3,0.0219169880829,0.0653434706477,-1
500,0.01,0,2_0_0_0-2_1_0_0,0.115398359157,0.0980133669735,-1
500,0.01,0,2_0_0_2-2_1_0_2,0.0374698282824,0.0378015178617,-1
500,0.01,0,2_0_0_1-2_1_0_1,0.0443996304519,0.0477299853436,-1
500,0.01,0,2_0_1_1-2_1_1_1,0.00163845919624,0.000543078898125,1
500,0.01,0,2_0_1_2-2_1_1_2,0.28786049918,0.37420169132,-1
500,0.01,0,2_0_0_3-2_1_0_3,0.000259454410048,9.70089950991e-05,1
