#flows,epsilon,is_correlated,#correlated_detect
10,0.01,1,2
20,0.01,1,1
30,0.01,1,8
40,0.01,1,8
50,0.01,1,8
10,0.01,1,2
20,0.01,1,1
30,0.01,1,7
40,0.01,1,8
50,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,8
40,0.01,1,8
50,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,6
40,0.01,1,8
50,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,8
40,0.01,1,8
50,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,6
40,0.01,1,8
50,0.01,1,8
10,0.01,1,2
20,0.01,1,3
30,0.01,1,6
40,0.01,1,8
50,0.01,1,8
10,0.01,1,2
20,0.01,1,4
30,0.01,1,7
40,0.01,1,8
50,0.01,1,8
10,0.01,1,2
20,0.01,1,1
30,0.01,1,8
40,0.01,1,8
50,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,6
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,4
30,0.01,1,8
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,4
30,0.01,1,8
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,0
30,0.01,1,7
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,8
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,3
30,0.01,1,6
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,1
30,0.01,1,8
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,8
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,7
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,3
30,0.01,1,8
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,3
30,0.01,1,7
40,0.01,1,8
50,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
