#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect
100,0,0.001,0.01,1,2
100,1,0.001,0.01,1,2
100,2,0.001,0.01,1,2
100,3,0.001,0.01,1,2
100,4,0.001,0.01,1,2
100,5,0.001,0.01,1,2
100,6,0.001,0.01,1,2
100,7,0.001,0.01,1,2
100,8,0.001,0.01,1,2
100,9,0.001,0.01,1,2
