#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
400,8,0.001,0.01,-1,0,0,4
500,8,0.001,0.01,1,4,0,4
500,8,0.001,0.01,0,0,4,4
500,8,0.001,0.01,-1,0,0,4
600,8,0.001,0.01,1,4,0,4
600,8,0.001,0.01,0,0,4,4
600,8,0.001,0.01,-1,0,0,4
100,9,0.001,0.01,1,2,2,4
100,9,0.001,0.01,0,0,3,4
100,9,0.001,0.01,-1,0,0,4
200,9,0.001,0.01,1,3,1,4
200,9,0.001,0.01,0,0,4,4
200,9,0.001,0.01,-1,0,0,4
300,9,0.001,0.01,1,3,1,4
300,9,0.001,0.01,0,0,4,4
300,9,0.001,0.01,-1,0,1,4
400,9,0.001,0.01,1,4,0,4
400,9,0.001,0.01,0,0,4,4
400,9,0.001,0.01,-1,0,1,4
500,9,0.001,0.01,1,4,0,4
500,9,0.001,0.01,0,0,4,4
500,9,0.001,0.01,-1,0,0,4
600,9,0.001,0.01,1,4,0,4
600,9,0.001,0.01,0,0,4,4
600,9,0.001,0.01,-1,0,0,4
600,0,0.001,0.01,1,4,0,4
600,0,0.001,0.01,0,0,4,4
600,0,0.001,0.01,-1,0,0,4
600,5,0.001,0.01,1,4,0,4
700,0,0.001,0.01,1,4,0,4
600,5,0.001,0.01,0,0,4,4
600,5,0.001,0.01,-1,0,0,4
700,0,0.001,0.01,0,0,4,4
700,5,0.001,0.01,1,4,0,4
700,0,0.001,0.01,-1,0,0,4
700,5,0.001,0.01,0,0,4,4
800,0,0.001,0.01,1,4,0,4
700,5,0.001,0.01,-1,0,0,4
800,0,0.001,0.01,0,0,4,4
800,5,0.001,0.01,1,4,0,4
800,0,0.001,0.01,-1,0,0,4
800,5,0.001,0.01,0,0,4,4
600,1,0.001,0.01,1,4,0,4
800,5,0.001,0.01,-1,0,0,4
600,1,0.001,0.01,0,0,4,4
600,6,0.001,0.01,1,4,0,4
600,1,0.001,0.01,-1,0,0,4
600,6,0.001,0.01,0,0,4,4
700,1,0.001,0.01,1,4,0,4
600,6,0.001,0.01,-1,0,0,4
700,1,0.001,0.01,0,0,4,4
700,6,0.001,0.01,1,4,0,4
700,1,0.001,0.01,-1,0,0,4
700,6,0.001,0.01,0,0,4,4
800,1,0.001,0.01,1,4,0,4
700,6,0.001,0.01,-1,0,0,4
800,1,0.001,0.01,0,0,4,4
800,6,0.001,0.01,1,4,0,4
800,1,0.001,0.01,-1,0,0,4
800,6,0.001,0.01,0,0,4,4
600,2,0.001,0.01,1,4,0,4
800,6,0.001,0.01,-1,0,0,4
600,2,0.001,0.01,0,0,4,4
600,7,0.001,0.01,1,4,0,4
600,2,0.001,0.01,-1,0,0,4
600,7,0.001,0.01,0,0,4,4
700,2,0.001,0.01,1,4,0,4
600,7,0.001,0.01,-1,0,0,4
700,2,0.001,0.01,0,0,4,4
700,7,0.001,0.01,1,4,0,4
700,2,0.001,0.01,-1,0,0,4
700,7,0.001,0.01,0,0,4,4
800,2,0.001,0.01,1,4,0,4
700,7,0.001,0.01,-1,0,0,4
800,2,0.001,0.01,0,0,4,4
800,7,0.001,0.01,1,4,0,4
800,2,0.001,0.01,-1,0,1,4
800,7,0.001,0.01,0,0,4,4
600,3,0.001,0.01,1,4,0,4
