#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
100,9,0.001,0.01,1,5,3,8
100,9,0.001,0.01,0,0,1,8
100,9,0.001,0.01,-1,0,0,8
200,9,0.001,0.01,1,7,1,8
200,9,0.001,0.01,0,0,7,8
200,9,0.001,0.01,-1,0,0,8
300,9,0.001,0.01,1,8,0,8
300,9,0.001,0.01,0,0,8,8
300,9,0.001,0.01,-1,0,0,8
400,9,0.001,0.01,1,8,0,8
400,9,0.001,0.01,0,0,8,8
400,9,0.001,0.01,-1,0,0,8
500,9,0.001,0.01,1,8,0,8
500,9,0.001,0.01,0,0,8,8
500,9,0.001,0.01,-1,0,0,8
600,0,0.001,0.01,1,8,0,8
600,5,0.001,0.01,1,8,0,8
600,0,0.001,0.01,0,0,8,8
600,5,0.001,0.01,0,0,8,8
600,0,0.001,0.01,-1,0,0,8
600,5,0.001,0.01,-1,0,0,8
700,0,0.001,0.01,1,8,0,8
700,5,0.001,0.01,1,8,0,8
700,0,0.001,0.01,0,0,8,8
700,5,0.001,0.01,0,0,8,8
700,0,0.001,0.01,-1,0,0,8
700,5,0.001,0.01,-1,0,0,8
800,0,0.001,0.01,1,8,0,8
800,5,0.001,0.01,1,8,0,8
800,0,0.001,0.01,0,0,8,8
800,5,0.001,0.01,0,0,8,8
800,0,0.001,0.01,-1,0,0,8
800,5,0.001,0.01,-1,0,0,8
600,1,0.001,0.01,1,8,0,8
600,6,0.001,0.01,1,8,0,8
600,1,0.001,0.01,0,0,8,8
600,6,0.001,0.01,0,0,8,8
600,1,0.001,0.01,-1,0,0,8
600,6,0.001,0.01,-1,0,0,8
700,1,0.001,0.01,1,8,0,8
700,6,0.001,0.01,1,8,0,8
700,1,0.001,0.01,0,0,8,8
700,6,0.001,0.01,0,0,8,8
700,1,0.001,0.01,-1,0,0,8
700,6,0.001,0.01,-1,0,0,8
800,1,0.001,0.01,1,8,0,8
800,6,0.001,0.01,1,8,0,8
800,1,0.001,0.01,0,0,8,8
800,6,0.001,0.01,0,0,8,8
800,1,0.001,0.01,-1,0,0,8
800,6,0.001,0.01,-1,0,0,8
600,2,0.001,0.01,1,8,0,8
600,7,0.001,0.01,1,8,0,8
600,2,0.001,0.01,0,0,8,8
600,7,0.001,0.01,0,0,8,8
600,2,0.001,0.01,-1,0,0,8
600,7,0.001,0.01,-1,0,0,8
700,2,0.001,0.01,1,8,0,8
700,7,0.001,0.01,1,8,0,8
700,2,0.001,0.01,0,0,8,8
700,7,0.001,0.01,0,0,8,8
700,2,0.001,0.01,-1,0,0,8
700,7,0.001,0.01,-1,0,0,8
800,2,0.001,0.01,1,8,0,8
800,7,0.001,0.01,1,8,0,8
800,2,0.001,0.01,0,0,8,8
800,7,0.001,0.01,0,0,8,8
800,2,0.001,0.01,-1,0,0,8
800,7,0.001,0.01,-1,0,0,8
600,3,0.001,0.01,1,8,0,8
600,8,0.001,0.01,1,8,0,8
600,3,0.001,0.01,0,0,8,8
600,8,0.001,0.01,0,0,8,8
600,3,0.001,0.01,-1,0,0,8
600,8,0.001,0.01,-1,0,0,8
700,3,0.001,0.01,1,8,0,8
700,8,0.001,0.01,1,8,0,8
700,3,0.001,0.01,0,0,8,8
700,8,0.001,0.01,0,0,8,8
700,3,0.001,0.01,-1,0,0,8
700,8,0.001,0.01,-1,0,0,8
800,3,0.001,0.01,1,8,0,8
800,8,0.001,0.01,1,8,0,8
800,3,0.001,0.01,0,0,8,8
800,8,0.001,0.01,0,0,8,8
800,3,0.001,0.01,-1,0,0,8
800,8,0.001,0.01,-1,0,1,8
600,4,0.001,0.01,1,8,0,8
600,9,0.001,0.01,1,8,0,8
600,4,0.001,0.01,0,0,8,8
600,9,0.001,0.01,0,0,8,8
600,4,0.001,0.01,-1,0,1,8
600,9,0.001,0.01,-1,0,0,8
700,4,0.001,0.01,1,8,0,8
700,9,0.001,0.01,1,8,0,8
700,4,0.001,0.01,0,0,8,8
700,9,0.001,0.01,0,0,8,8
700,4,0.001,0.01,-1,0,0,8
700,9,0.001,0.01,-1,0,0,8
800,4,0.001,0.01,1,8,0,8
800,9,0.001,0.01,1,8,0,8
800,4,0.001,0.01,0,0,8,8
800,9,0.001,0.01,0,0,8,8
800,4,0.001,0.01,-1,0,0,8
800,9,0.001,0.01,-1,0,0,8
