#flows,epsilon,is_correlated,key,count_chern,byte_chern,class
200,0.01,1,2_0_1_0-2_1_1_0,9.1567711917e-15,6.9232041925e-14,1
200,0.01,1,2_0_1_3-2_1_1_3,1.63326038186e-09,5.62101921068e-10,1
200,0.01,1,2_0_0_0-2_1_0_0,7.29239763548e-18,5.91749740958e-18,1
200,0.01,1,2_0_0_2-2_1_0_2,9.09563006131e-12,1.84952685562e-11,1
200,0.01,1,2_0_0_1-2_1_0_1,8.61737215994e-23,6.24387924753e-23,1
200,0.01,1,2_0_1_1-2_1_1_1,6.0056974018e-11,2.55247907363e-10,1
200,0.01,1,2_0_1_2-2_1_1_2,1.66324298134e-11,1.17161617215e-09,1
200,0.01,1,2_0_0_3-2_1_0_3,3.38134337286e-12,5.73728282045e-12,1
200,0.01,0,2_0_1_0-2_1_1_0,0.00179304640395,0.00151378721156,1
200,0.01,0,2_0_1_3-2_1_1_3,0.191388685108,0.121517862778,-1
200,0.01,0,2_0_0_0-2_1_0_0,0.124136251156,0.12883476497,-1
200,0.01,0,2_0_0_2-2_1_0_2,0.0266928446255,0.0143340299373,-1
200,0.01,0,2_0_0_1-2_1_0_1,0.00020501320085,0.00015426194476,1
200,0.01,0,2_0_1_1-2_1_1_1,0.000215198010491,0.000491501849735,1
200,0.01,0,2_0_1_2-2_1_1_2,0.030318103559,0.0382271678537,-1
200,0.01,0,2_0_0_3-2_1_0_3,1.90073350958e-08,5.55479356604e-08,1
500,0.01,1,2_0_1_0-2_1_1_0,1.88247759227e-20,5.2786961392e-16,1
500,0.01,1,2_0_1_3-2_1_1_3,9.27691896624e-22,4.86257295525e-17,1
500,0.01,1,2_0_0_0-2_1_0_0,2.73172512902e-34,4.67270816523e-30,1
500,0.01,1,2_0_0_2-2_1_0_2,2.54017908389e-23,2.27240787791e-18,1
500,0.01,1,2_0_0_1-2_1_0_1,5.933722843e-33,8.08593168841e-25,1
500,0.01,1,2_0_1_1-2_1_1_1,3.08104678075e-22,9.07208248413e-19,1
500,0.01,1,2_0_1_2-2_1_1_2,1.49402016363e-12,1.14528321518e-09,1
500,0.01,1,2_0_0_3-2_1_0_3,2.95814543098e-17,2.05269065171e-14,1
500,0.01,0,2_0_1_0-2_1_1_0,0.0185444061584,0.00736822173973,0
500,0.01,0,2_0_1_3-2_1_1_3,0.182043903313,0.44448112301,-1
500,0.01,0,2_0_0_0-2_1_0_0,0.0903543527787,0.125737065098,-1
500,0.01,0,2_0_0_2-2_1_0_2,0.00780572145629,0.00254161746191,1
500,0.01,0,2_0_0_1-2_1_0_1,4.69964648786e-05,4.54148181872e-05,1
500,0.01,0,2_0_1_1-2_1_1_1,0.00096070226502,0.000846553468241,1
500,0.01,0,2_0_1_2-2_1_1_2,0.0621337873705,0.142716199031,-1
500,0.01,0,2_0_0_3-2_1_0_3,5.27108787174e-07,8.97679005675e-08,1
800,0.01,1,2_0_1_0-2_1_1_0,4.80058025151e-24,2.59822635134e-20,1
800,0.01,1,2_0_1_3-2_1_1_3,6.54881745798e-21,3.66526553101e-19,1
800,0.01,1,2_0_0_0-2_1_0_0,1.93057347732e-44,2.19913852928e-33,1
800,0.01,1,2_0_0_2-2_1_0_2,2.33605015006e-23,4.815747857e-23,1
800,0.01,1,2_0_0_1-2_1_0_1,8.98467959236e-40,1.74366555059e-37,1
800,0.01,1,2_0_1_1-2_1_1_1,6.77146029308e-22,6.27511661782e-17,1
800,0.01,1,2_0_1_2-2_1_1_2,5.3512234127e-16,3.68978021203e-13,1
800,0.01,1,2_0_0_3-2_1_0_3,3.06540982016e-20,5.66976235115e-17,1
800,0.01,0,2_0_1_0-2_1_1_0,0.029950526749,0.164211561314,-1
800,0.01,0,2_0_1_3-2_1_1_3,0.0229445367569,0.122481123603,-1
800,0.01,0,2_0_0_0-2_1_0_0,0.245546321707,0.0672402254099,-1
800,0.01,0,2_0_0_2-2_1_0_2,0.000170093360764,0.000313269055399,1
800,0.01,0,2_0_0_1-2_1_0_1,0.0038786006137,0.00404400258773,1
800,0.01,0,2_0_1_1-2_1_1_1,4.94530875056e-05,3.15011519788e-05,1
800,0.01,0,2_0_1_2-2_1_1_2,0.271202097801,0.513435012632,-1
800,0.01,0,2_0_0_3-2_1_0_3,1.52552096484e-07,3.36749399231e-07,1
1100,0.01,1,2_0_1_0-2_1_1_0,6.51801326077e-24,1.433109437e-19,1
1100,0.01,1,2_0_1_3-2_1_1_3,5.03621980868e-23,1.13081614671e-17,1
1100,0.01,1,2_0_0_0-2_1_0_0,1.93664416149e-43,2.28517435826e-37,1
1100,0.01,1,2_0_0_2-2_1_0_2,1.55418930249e-27,4.9425702958e-21,1
1100,0.01,1,2_0_0_1-2_1_0_1,1.83976567867e-38,2.53648371236e-33,1
1100,0.01,1,2_0_1_1-2_1_1_1,7.21937101381e-24,4.13393599056e-19,1
1100,0.01,1,2_0_1_2-2_1_1_2,1.85987163232e-18,7.48243478303e-15,1
1100,0.01,1,2_0_0_3-2_1_0_3,1.24598315366e-16,3.88686296307e-14,1
1100,0.01,0,2_0_1_0-2_1_1_0,0.0198379924568,0.00369756547157,0
1100,0.01,0,2_0_1_3-2_1_1_3,0.0159940319166,0.0609356034495,-1
1100,0.01,0,2_0_0_0-2_1_0_0,0.177215346331,0.0887405993255,-1
1100,0.01,0,2_0_0_2-2_1_0_2,0.00181416633273,0.000845208981516,1
1100,0.01,0,2_0_0_1-2_1_0_1,0.00196137645374,0.00140405575991,1
