sampling rate, #flows, detected_cases_web, #flows, detected_cases_hadoop, #flows, detected_cases_cache,,,,,,,,,,,,,,,,,,,,,
,400,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
,600,1,,0,,1,,,,,,,,,,,,,,,,,,,,,
,800,1,,2,,3,,,,,,,,,,,,,,,,,,,,,
,1000,3,,4,,4,,,,,,,,,,,,,,,,,,,,,
,1200,4,,4,,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.715,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,949972,('**** A,flow_num, time',949972, 86216.0),,1,,,1108021,('**** C,flow_num, time',1108021, 86588.0),,1,,993901,('**** C,flow_num, time',993901, 74574.0),,1
2,1899944,('**** A,flow_num, time',1779425, 86216.0),,0.9365670778,,,2216042,('**** C,flow_num, time',2247621, 86588.0),,1.0142501812,,1987802,('**** C,flow_num, time',1975665, 76971.0),,0.9938942611
3,2849916,('**** A,flow_num, time',2551686, 86216.0),,0.8953548105,,,3324063,('**** C,flow_num, time',3350325, 86588.0),,1.0079005723,,2981703,('**** C,flow_num, time',2946314, 76971.0),,0.9881312793
4,3799888,('**** A,flow_num, time',3285398, 86509.0),,0.8646039041,,,4432084,('**** C,flow_num, time',4472417, 86588.0),,1.0091002337,,3975604,('**** C,flow_num, time',3904431, 81713.0),,0.982097563
5,4749860,('**** A,flow_num, time',3998071, 86509.0),,0.8417239666,,,5540105,('**** C,flow_num, time',5605970, 86599.0),,1.0118887638,,4969505,('**** C,flow_num, time',4851763, 81713.0),,0.976307097
6,5699832,('**** A,flow_num, time',4689802, 86616.0),,0.8227965315,,,6648126,('**** C,flow_num, time',6719316, 86624.0),,1.0107082808,,5963406,('**** C,flow_num, time',5786902, 85758.0),,0.9704021494
7,6649804,('**** A,flow_num, time',5365791, 86746.0),,0.8069096473,,,7756147,('**** C,flow_num, time',7810336, 86624.0),,1.0069865875,,6957307,('**** C,flow_num, time',6711880, 86164.0),,0.9647238508
