#flows,epsilon,is_correlated,#correlated_detect
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,1
50,0.01,1,3
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,4
50,0.01,1,5
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,1
50,0.01,1,5
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,3
50,0.01,1,5
10,0.01,1,1
20,0.01,1,2
30,0.01,1,2
40,0.01,1,3
50,0.01,1,6
10,0.01,1,2
20,0.01,1,2
30,0.01,1,1
40,0.01,1,5
50,0.01,1,6
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,3
50,0.01,1,6
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,3
50,0.01,1,6
10,0.01,1,2
20,0.01,1,2
30,0.01,1,1
40,0.01,1,1
50,0.01,1,4
10,0.01,1,2
20,0.01,1,2
30,0.01,1,3
40,0.01,1,2
50,0.01,1,4
60,0.01,1,7
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,7
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,7
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,4
50,0.01,1,6
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,3
40,0.01,1,2
50,0.01,1,6
60,0.01,1,7
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,1
50,0.01,1,3
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,3
20,0.01,1,2
30,0.01,1,2
40,0.01,1,3
50,0.01,1,6
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,2
50,0.01,1,4
60,0.01,1,7
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,3
40,0.01,1,3
50,0.01,1,4
60,0.01,1,7
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,3
50,0.01,1,4
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,2
50,0.01,1,5
60,0.01,1,7
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,2
40,0.01,1,2
50,0.01,1,7
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
10,0.01,1,2
20,0.01,1,2
30,0.01,1,3
40,0.01,1,2
50,0.01,1,6
60,0.01,1,8
70,0.01,1,8
80,0.01,1,8
90,0.01,1,8
100,0.01,1,8
