#flows,iteration,epsilon,r_threshold,is_correlated,#correlated_detect,#non-uniform_detect,#all_cases
100,6,0.0001,0.01,0,2,12,14
100,8,0.0001,0.01,1,5,9,14
100,7,0.0001,0.01,0,1,13,14
100,6,0.0001,0.01,-1,0,1,14
100,9,0.0001,0.01,1,5,9,14
100,8,0.0001,0.01,0,0,14,14
100,7,0.0001,0.01,-1,1,0,14
100,9,0.0001,0.01,0,0,14,14
100,8,0.0001,0.01,-1,0,1,14
200,6,0.0001,0.01,1,10,4,14
100,9,0.0001,0.01,-1,0,2,14
200,7,0.0001,0.01,1,8,6,14
200,8,0.0001,0.01,1,10,4,14
200,6,0.0001,0.01,0,1,13,14
200,9,0.0001,0.01,1,9,5,14
200,7,0.0001,0.01,0,0,14,14
200,6,0.0001,0.01,-1,1,0,14
200,8,0.0001,0.01,0,1,13,14
200,9,0.0001,0.01,0,0,14,14
200,7,0.0001,0.01,-1,0,1,14
200,8,0.0001,0.01,-1,0,1,14
200,9,0.0001,0.01,-1,0,1,14
300,6,0.0001,0.01,1,13,1,14
300,7,0.0001,0.01,1,10,4,14
300,8,0.0001,0.01,1,11,3,14
300,9,0.0001,0.01,1,12,2,14
300,6,0.0001,0.01,0,0,14,14
300,7,0.0001,0.01,0,0,14,14
300,8,0.0001,0.01,0,0,14,14
300,9,0.0001,0.01,0,0,14,14
300,6,0.0001,0.01,-1,0,1,14
300,7,0.0001,0.01,-1,0,0,14
300,8,0.0001,0.01,-1,0,0,14
300,9,0.0001,0.01,-1,0,1,14
400,6,0.0001,0.01,1,14,0,14
400,7,0.0001,0.01,1,12,2,14
400,8,0.0001,0.01,1,13,1,14
400,9,0.0001,0.01,1,11,3,14
400,6,0.0001,0.01,0,0,14,14
400,7,0.0001,0.01,0,0,14,14
400,9,0.0001,0.01,0,1,13,14
400,8,0.0001,0.01,0,0,14,14
400,6,0.0001,0.01,-1,0,1,14
400,7,0.0001,0.01,-1,0,3,14
400,9,0.0001,0.01,-1,0,0,14
400,8,0.0001,0.01,-1,0,1,14
500,6,0.0001,0.01,1,13,1,14
500,7,0.0001,0.01,1,14,0,14
500,9,0.0001,0.01,1,14,0,14
500,8,0.0001,0.01,1,14,0,14
500,6,0.0001,0.01,0,0,14,14
500,7,0.0001,0.01,0,0,14,14
500,9,0.0001,0.01,0,0,14,14
500,8,0.0001,0.01,0,0,14,14
500,6,0.0001,0.01,-1,0,1,14
500,7,0.0001,0.01,-1,0,1,14
500,9,0.0001,0.01,-1,0,1,14
500,8,0.0001,0.01,-1,0,2,14
600,6,0.0001,0.01,1,13,1,14
600,7,0.0001,0.01,1,13,1,14
600,9,0.0001,0.01,1,14,0,14
600,8,0.0001,0.01,1,14,0,14
600,6,0.0001,0.01,0,0,14,14
600,7,0.0001,0.01,0,1,13,14
600,9,0.0001,0.01,0,0,14,14
600,8,0.0001,0.01,0,0,14,14
600,6,0.0001,0.01,-1,0,1,14
600,7,0.0001,0.01,-1,0,0,14
600,8,0.0001,0.01,-1,0,1,14
600,9,0.0001,0.01,-1,0,2,14
700,6,0.0001,0.01,1,14,0,14
700,7,0.0001,0.01,1,14,0,14
700,8,0.0001,0.01,1,14,0,14
700,9,0.0001,0.01,1,14,0,14
700,6,0.0001,0.01,0,0,14,14
700,7,0.0001,0.01,0,0,14,14
700,8,0.0001,0.01,0,0,14,14
700,9,0.0001,0.01,0,0,14,14
700,6,0.0001,0.01,-1,0,0,14
700,7,0.0001,0.01,-1,0,1,14
700,8,0.0001,0.01,-1,1,1,14
700,9,0.0001,0.01,-1,0,0,14
800,6,0.0001,0.01,1,14,0,14
800,7,0.0001,0.01,1,14,0,14
800,8,0.0001,0.01,1,14,0,14
800,9,0.0001,0.01,1,14,0,14
800,6,0.0001,0.01,0,0,14,14
800,7,0.0001,0.01,0,0,14,14
800,9,0.0001,0.01,0,1,13,14
800,8,0.0001,0.01,0,0,14,14
800,6,0.0001,0.01,-1,0,0,14
800,7,0.0001,0.01,-1,0,1,14
800,9,0.0001,0.01,-1,0,0,14
800,8,0.0001,0.01,-1,0,0,14
